Title,Plot
Thalapathi,"A 14-year-old forlorn Kalyani delivers a boy in seclusion, fearing societal backlash and incapacity. She abandons him, heavy-hearted, placing him inside a moving goods train, which, a slum dweller finds. The slum procures him as their common child-naming Surya and collectively raise him honest. He grows up, intolerable against injustice especially to the poor, amidst his worry behind a real reason, regarding why his biological mother had impetuously abandoned him. A yellow shawl was the only identity he had of his mother which she had placed him in when casting away. Devaraj, a powerful, kind yet feared by most in the society, also fights injustice, but by deploying violence. Ramana, an auxiliary of Devaraj's, whose abusive demeanour made Surya pounce on him, succumbs. While Surya gets apprehended, an exasperated Devaraj soon perceives Ramana's felony, realises Surya was genuine and bails him out. This makes Surya and Devaraj get to understand each other as both share similar social ideologies despite getting off to each other on wrong foot. Devaraj declares Surya his ""Thalapathi"", a best friend. Arjun, a new district collector, arrives, wants to end violence, all means of, by law. Arjun is the second son of Kalyani, now a doctor. After the abandonment of her first offspring, she wed a man (Jaishankar) who accepted her, despite knowing her past. Never did Kalyani let Arjun know her ordeal she faced as a teen, but constantly is grieved by thoughts of her long-lost first child (Surya). Meanwhile, Surya gets wooed by a Brahmin girl, Subbalakshmi, having been smitten by his transparent nature, restraining crimes. Surya's appraisal to Devaraj leads the people in the locality to pay utmost respect to both as they continue objecting societal incongruencies other dons like Kalivardhan incite through moles in governance. While Devaraj leads Surya to help curb those unlawful discrepancies, Subbalakshmi initially despises Surya's use of violence and tries to persuade him against it. Devaraj tries to get an alliance between Subbalakshmi and Surya but fails as her father, an Orthodox priest, was uninterested in giving her married to Surya, who he considered an orphan. Her marriage subsequently gets arranged with Arjun. Arjun targets Devaraj and Surya as they bestow violence, despite fighting organised crime. His attempts to chain them are in vain. Meanwhile, Padma, Ramana's wife, widowed by Surya, makes him feel guilty for the sufferings he brought her. Devaraj, understanding the pain a widow and a single mother bears, shelters them. Padma, however, confesses a quagmire that men surround her with dishonourable intentions, concoct frivolous reasons to make untoward advances. Devaraj, considering Padma and her daughter's safety and Surya's future from lost love, requests them to accept each other. A guilt-ridden Surya marries Padma, wins her child's affection eventually. Later, at a medical camp, Kalyani meets Padma and her daughter along with the same shawl in which she wrapped her child she rejected. Jaishankar, too, indicates that Surya was none other but Kalyani's long lost son during a suspect pointing. Jaishankar secretly meets Surya and tells his past. Surya gets promised to not have his mother known of him, as it would pain her to know that her son has grown to be a vigilante. Regretful Kalyani, though, eventually finds Surya and meets him. After emotional poignance, Surya vows that he will not harm Arjun for her. The long-standing feud between Devaraj (by virtue of association) and Kalivardhan, who is Deva's main rival, in due course of time, makes Surya admit his family truths when Devaraj doubts Surya's intentions after knowing about his secret meeting with his stepfather and mother. Deva gets pleased that despite knowing that Arjun was his own blood, Surya still preferred sticking with him, supporting him during unforeseen situations thereby, valuing his friendship more than family. Devaraj, in glee, decides to surrender. They both go meet Arjun, who has also been made aware of who Surya is by his mother. Suddenly, Kalivardhan's men retaliate, where Devaraj gets killed. Angered, Surya avenges Devaraj by killing Kalivardhan and surrenders to the police. In the end, Arjun is transferred and relocates to another city with Subbalakshmi, while Kalyani prefers staying with Surya."
Redhead from Manhattan,"Lupe Vélez plays a dual role, twin sisters Rita and Elaine. After escaping a torpedoed ship, Rita shows up in Manhattan, where she takes the place of her Broadway-star twin sister Elaine, who's having problems with her marriage and needs to make a getaway. Neither Elaine's husband or Rita's saxophone-player boyfriend are aware of the switch."
Christmas Comes to Willow Creek,"Willow Creek, Alaska is going through problems because the town's main business, a cannery, has closed and many residents no longer have jobs. Ray and Pete are brothers; although they share the same profession (truck drivers), they are different as day and night. Pete (played by Tom Wopat) is trying to figure out what to do with his rebellious son Michael (played by Zachary Ansley), who is angry that his father is always on the road trucking; meantime, he also has to deal with Ray (played by John Schneider), a troublesome recluse who has problems of his own, including a pregnant spouse, who had left Pete for Ray in the first place. Ray and Pete are hired by an old friend, Al Bensinger (played by Hoyt Axton), to bring Christmas presents and a very big surprise from California all the way up to his home town of Willow Creek, Alaska. The brothers do not realize that they will have to rely on one another and along the way, the brothers and Pete's son argue and get stuck in a blizzard; meanwhile Ray's wife goes into labor. As she gives birth, they finally reconcile with each other, and arrive at their destination greeted by a crowd of happy townspeople. Earlier in the movie, it is discovered that Ray was a champion chili cooker, and the surprise is that Al has loaded the truck with enough supplies to reopen the cannery and manufacture chili. Ray and his spouse like the small town and decide to stay and help the cannery get working again. Pete informs his son that Al has made him a partner in their company, so he won't have to drive a truck anymore and they can be closer together from here on out."
Kisses for My President,"The United States elects its first female President, Leslie Harrison McCloud (Polly Bergen). She and her first gentleman, Thad (Fred MacMurray), move into the White House with their daughter Gloria (Ahna Capri) and son Peter (Ronnie Dapo). Immediately, the new President is too busy for her husband and family as she deals with a powerful opposition Senator Walsh (Edward Andrews), and a Central America dictator Raphael Valdez Jr. (Eli Wallach). Thad attempts to find something meaningful to do as the ""first lady"". Much time is given to the husband's chagrin at being assigned an ultra-feminine bedroom and office within the White House. It is clear that no one, especially Thad McCloud, has given any thought to how a President's husband might fit into the scheme of things. Enter Doris Reid Weaver (Arlene Dahl), Thad's former flame and now an international business woman. She wants Thad back—and during a seductive visit, offers to make him Vice-President of her cosmetics company as bait. Leslie smells Doris's perfume on her husband that night, and confronts him. Leslie has asked him to show visiting dictator Valdez around Washington, with disastrous results, as Thad brawls with a male diner at a burlesque show they are all attending. To further complicate things, the first daughter is running around town with a very unsuitable boyfriend and using her position to get out of scrapes with the police. Son Peter has become a bully, using his Secret Service men for protection as he terrorizes everyone in his school—including the principal. The President's husband ultimately finds an important role in a Cold War subplot that resembles the rise and fall of Senator McCarthy, when Thad proves that Senator Walsh blindly supports the Latin American dictator for reasons that are not patriotic. Senator Walsh aggressively portrays the lady President as weak in resisting Communism because she has the humanitarian integrity to refuse to give dictator Valdez more ""foreign aid"" money for his personal enrichment while he does nothing to alleviate poverty in his country. The Russians are also co-funding Valdez to prevent him from being influenced exclusively by the United States. As soon as the President drops her support for the dictator, the Russians do so as well. Leslie then discovers that she is pregnant, and resigns the presidency to devote herself full-time to her family."
Shiloh,"An unnamed abused dog runs away from his cruel owner, Judd Travers (Scott Wilson), and meets a boy named Marty Preston (Blake Heron). The dog follows the boy to his home, but is not allowed to stay with him. Marty decides to remodel an abandoned shack at the top of a hidden hill for the dog to stay in for the next few weeks. Marty bonds with the dog, and names him Shiloh. Marty's strict father, Ray Preston (Michael Moriarty), will not let Marty keep Shiloh because he belongs to Judd Travers, a local hunter. Judd is a mean old man that hunts with his dogs. Shiloh was the most mistreated in the pack. Marty hesitantly returns Shiloh to Judd, but, after Shiloh is mistreated again, the dog returns to Marty. Knowing Ray will make him take Shiloh back to Judd, Marty decides to hide Shiloh in a shed behind his house. His secret is soon revealed when his mother, Louise Preston (Ann Dowd), comes up the hill and sees Marty and Shiloh bonding. When a German Shepherd belonging to the Bakers family attacks Shiloh, Marty turns to Ray for help. Marty takes Shiloh to a vet and Shiloh recovers quickly. Soon, Ray says that it is time to take Shiloh back to Judd. Marty urges his father to keep Shiloh, pleading about how Judd abuses the dog. Ray initially agrees to keep Shiloh until he recovers, and tries not to become attached to Shiloh. That night, when Ray thinks Marty is asleep he gives the dog a treat, and soon his heart softens toward granting Marty's wish. Eventually Marty goes to see Judd, and asks him if he can clean up Judd's place in exchange of Shiloh. Judd agrees. Marty works the next few days at Judd's, and is very excited to get his new pet. After all of Marty's hard work, Judd says that there were no witnesses to the deal, and that a contract is not valid without it. Marty fights with the beer-guzzling Judd, because he worked a lot for Shiloh. Marty continues working, though, sometimes overtime without being paid a penny more. Marty told Judd that he wanted Shiloh and that he worked very hard for nothing. Marty keeps Shiloh for the next few days, until Judd comes again to take the dog. Marty fights with Judd again about keeping Shiloh with the help of Ray. Judd then tries to kidnap Shiloh. Ray comes to the rescue and knocks Judd down, and they both fight. Judd escapes Ray, grabs Shiloh, and drives away in his truck. Marty can already tell how much Judd is going to abuse Shiloh. Watching Marty and Shiloh in the mirror, Judd seems to consider everything and releases Shiloh from his truck and the dog runs into Marty's arms. Sheena Easton sings the theme ""Are There Angels"" for the Shiloh soundtrack during the credits, which show Marty happily walking with Shiloh at his side."
Hot Blood,"Marco Torino (Luther Adler), king of the gypsies in southern California, is terminally ill. He wants his younger brother to succeed him, but Stephano (Cornel Wilde) is determined to become a dancer instead. After turning a potential employer against him, Marco arranges a marriage for his brother to Annie Caldash (Jane Russell), a sexy gypsy. Stephano angers her father Theodore (Joseph Calleia) and brother Xano (James H. Russell) by resisting Annie's charms and refusing to marry her. Stephano loved the blonde Velma (Helen Westcott). Annie comes up with a scheme. Her father wants her to be paid a rich dowry from Stephano's, then run off before the marriage. Stephano's brother is trying to raise money for a trip to ""the promised land."" She persuades Stephano to stage a phony wedding at which she will faint during the ceremony, whereupon they will split the dowry and teach their greedy relatives a lesson. But it is Stephano whom she ends up fooling, by going through with the marriage. An angry Stephano leaves with Velma, finding work in cheap dance clubs. He begins to miss Annie. He returns to the gypsy camp to find Marco and her together, surprisingly happy. Mistakenly believing they are now together and pulling a swindle, Stephano objects, but Marco explains that he is merely enjoying the last precious days of his life. Stephano agrees to become the new gypsy king, with Annie his queen."
Mr. Mike's Mondo Video,"The film is largely plotless; a series of vignettes linked together by interstitial pieces featuring Mr. Mike discussing how upsetting and odd the sequences are. He introduces some of the pieces via voice-over, and some open with no introduction. Sequences include:"
The World According to Garp,"T. S. Garp is the illegitimate son of a feminist mother, Jenny Fields, who wanted a child but not a husband. A nurse during World War II, she encounters a dying ball turret gunner known only as Technical Sergeant Garp (that being the only sound he is able to utter) who was severely brain damaged in combat. Unconstrained by convention and driven by her desire for a child, Jenny is able to rape Garp due to his priapism, thus impregnating herself. She names the resultant child after Garp and raises him on her own. Garp grows up, becoming interested in wrestling and fiction writing, topics his mother has little interest in. Garp's writing piques the interest of the daughter of the school's wrestling coach, Helen Holm. She is wary of him. Jenny also observes Garp's interest in sex in this regard and is intellectually curious about it, having little more than clinical interest in sex herself. She offers to procure a prostitute for Garp. After engaging the two of them in conversation on the subject, Jenny decides to write a book on her observations of lust and human sexuality. Her book is a partial autobiography called Sexual Suspect, and is an overnight sensation. Jenny becomes a feminist icon. She uses the proceeds from the book to found a center at her home for troubled and abused women and transsexuals. Meanwhile, Garp's first novel is published, which impresses Helen. The two marry and eventually have two children, Duncan and Walt. Garp becomes a devoted parent and successful fiction writer, while Helen becomes a college professor. Having learned about his wife's infidelity with one of her students, Garp gets into a car accident while his children are riding in the back seat. He crashes into his wife's lover's car, parked in their driveway, while his wife is in the car performing fellatio. As a result, Walt is killed and Duncan suffers an eye injury. Garp, through the aid of his mother, learns to forgive himself and his wife for their fidelity problems. The couple reconcile, and they have a baby daughter named Jenny. Garp spends time visiting his mother and the people who live at her center, including transsexual ex-football player Roberta Muldoon. He also first hears the story of Ellen James, a girl who was gang raped and then had her tongue cut out so that she could not identify her attackers. Some of the women at Jenny's center are ""Ellen Jamesians"", women who voluntarily cut out their own tongues as a show of solidarity. Garp is horrified by the practice and learns that the Jamesians have received a letter from Ellen James begging them to stop the practice, but that they have voted to refuse. Jenny receives credible death threats, because of both her center and her book. To Garp's dismay, she is dismissive of physical danger, and in fact, decides to endorse a politician who supports her message. Garp writes a book about the life of Ellen James. The book is very successful and well-regarded, but is highly critical of the Jamesians. Garp begins receiving death threats of his own from them. During a political rally, Jenny is shot and killed by an anti-feminist fanatic. The women of Jenny's center hold a memorial for her, but forbid all men from attending. Garp, dressed as a woman, is secreted into the memorial by Muldoon. He is identified by Pooh, a Jamesian he had known when they both were in school. A commotion breaks out, and Garp is in danger of being hurt, until a woman leads him out of the memorial, away from danger, and to a taxi. The woman is Ellen James, who thanks Garp for his book about her. The Jamesians are further outraged that Garp attended the memorial. Garp returns to his old school as the wrestling coach. One day during practice, Pooh enters the gymnasium and shoots him at close range with a pistol. Garp is airlifted away from the school by helicopter with his wife. He flashes back to an earlier time when his mother would toss him into the air."
Genius at Work,"Jerry Miles and Mike Strager co-host a radio mystery series, ""Crime of the Week,"" with young Ellen Brent writing their scripts. What she writes about the kidnapping of millionaire John Saunders by someone called ""The Cobra"" is suspiciously close to the facts of the case. It turns out that the radio station's owner, Latimer Marsh, is the Cobra, assisted in his diabolical crimes by Stone, his sadistic butler. Chloroform is used on Ellen when she gets too close to the truth and an attempt is made to frame her for the kidnapping and a murder. The bumbling and cowardly Jerry and Mike try to be of help to her in their own way, but Lt. Rick Campbell is the one who ends up saving them all."
Friday (ഫ്രൈഡേ),"The film tells the life stories of many people who arrive into a town on Friday 11 November 2011 (11-11-11) to mess up their life into confusing proportions. Balu (Fahadh Faasil), an auto-rickshaw driver by profession, lives by taking it on daily rent. He is least happy with the way the day has started off. He has just learned that a jack fruit has fallen over the roof of his house. We see the poor condition he lives in as he does not have the money to repair the roof of his house. Out in the city, Aswathy (Nimisha Suresh) is busy shopping for her wedding. Accompanied by her grandfather (Nedumudi Venu), sister and mom, she is seen quite busy attending the phone calls of her beau Jayakrishnan (Tini Tom) who is incidentally in the city as well. Muneer (Manu) is the son of the auto-rickshaw owner that Balu runs. He is a typical young college student who refuses to do anything that his mother wishes him to do. Muneer and his girlfriend Jincy (Ann Augustine) decide to head over to the beach, as a holiday has been declared for the college. A fully pregnant beggar woman roams the city with hopes of finding a place where she could deliver her baby. Another mother (Seema G. Nair), whose daughter in law has just delivered a baby, has to head back home with the newborn, as the hospital decides to discharge her all on a sudden, due to want of beds. Arun (Prakash Bare) and Parvathy (Asha Sarath), a childless couple, also lands in Alappuzha on the same day, to adopt a child. They are quite in a hurry, and have to leave back to Bangalore by evening, and when the orphanage officials demand a certificate to complete the adoption procedures, they find themselves in a fix."
The Paperboy,"Anita (Macy Gray), the chain-smoking maid of the Jansen family, recounts to an unseen reporter the events of the summer of 1969, when idealistic reporter Ward Jansen (Matthew McConaughey) came back to his fictional hometown of Lately in Moat County, Florida, to investigate the events surrounding a murder in an effort to exonerate a man on death row, Hillary Van Wetter (John Cusack). In 1965, swamp-dwelling alligator hunter and small-time criminal Van Wetter has been jailed for the murder of a violent and unscrupulous local sheriff, Thurmond Call. Four years later, Charlotte Bless (Nicole Kidman), a woman from Mobile, Alabama whom Van Wetter has never met but who has fallen in love with him after exchanging correspondence, is now determined to prove his innocence and have him released so they can marry. Charlotte requested the help of Ward and his colleague, Englishman Yardley Acheman (David Oyelowo), who are both investigative reporters from The Miami Times. Ward's younger brother, Jack Jansen (Zac Efron), is hired as their driver. Ward has mixed feelings about returning home to his estranged father, who runs a local newspaper and distributes The Miami Times in their town. Both Jansen brothers dislike their father's latest girlfriend, Ellen. Jack now works as a paperboy for his father's business after having been expelled from college for vandalism, ending his prospective career as a professional swimmer. His only real friend is Anita, who brought him and Ward up after their mother left them. The evidence against Van Wetter is inconsistent and Ward and Yardley are confident they can expose Van Wetter as a victim of redneck justice. Meanwhile, Jack has fallen in love with Charlotte, who only desires Van Wetter. During a day at the beach, Jack gets stung by a jellyfish and has a life-threatening allergic reaction. Charlotte saves his life by urinating on him, an embarrassing circumstance that his father promptly exploits for an article in his newspaper. Anita realizes that Jack can never stop thinking of Charlotte as she is his first true love. Van Wetter is hostile to the reporters at first, and contrary to the romantic portrayal he had painted of himself in his letters to Charlotte, he reveals himself to be a racist, a sexist and, in general, a rude man with anger issues. One day, after finally acquiring some useful information from Van Wetter, the Jansens travel to meet Van Wetter's uncle Tyree. The man is the only one who can corroborate Van Wetter's alibi, since, according to Van Wetter, the two men were stealing sod from a golf course in Ormond Beach the night of the murder. Tyree, who lives in pitiful conditions in the middle of the swamp with his ""white trash"" family, is initially ill-disposed and wary of admitting his own crime to save his nephew's life, but finally caves in. In the meantime, Yardley and Charlotte have visited the golf course to verify that side of the story; Yardley comes back claiming to have tracked the developer who bought the sod stolen by Hillary and Tyree, but the man only agreed to talk upon the promise to remain anonymous, so Yardley refuses to disclose his name even to Ward. Satisfied with his findings, Yardley goes back to Miami to start writing the article. Suspicious of Yardley's motives, Ward decides to go check the truth in Ormond Beach himself, with Jack and Charlotte in tow. During the trip, Ward gets drunk, approaches two black men in a bar, and takes them to his motel room. During the night, Charlotte wakes up Jack after hearing alarming sounds from Ward's room, and the two find Ward tied up, after being raped and tortured by the two men. As Ward is taken to the hospital, Jack does not resent him for secretly being a homosexual or for ""what he was into"", but just for keeping from him this side of his adult life. While Ward's still in the hospital, Jack goes to Miami to try and convince Yardley not to publish the article in his brother's name without checking all the facts first. During the confrontation, Yardley reveals he's actually an American pretending to be English to escape discrimination. He also reveals he had given Ward sexual favors in the past, which was the beginning of Ward's guilty, self-hating infatuation with black men. After the article is published, Van Wetter obtains a pardon and is released from prison. He takes Charlotte away to the swamp to live with him. Months later, she is unhappy with the demeaning lifestyle she has to endure, and sends a letter to Jack telling him she now realizes she made a mistake and plans to reunite with him at his father and Ellen's wedding reception. However, Jack only finds out about the letter one month later, on the very day of the wedding, when Anita, who's been fired from the Jansen household, gives the letter to him, revealing Ellen decided to hide it from Jack. Since Charlotte is not there, a worried Jack leaves the party to go find her, followed by Ward, who has lost an eye due to the incident at Ormond Beach and is now an alcoholic after Yardley left for New York with a deal to write a book on the Van Wetter case. When Jack and Ward confront Van Wetter, Charlotte has already been killed after Van Watter refused to let her leave to attend the wedding. A fight ensues, and Van Wetter kills Ward as well, by slashing his throat with a machete (the same weapon the sheriff was murdered with), but Jack manages to evade Van Wetter by diving into the swamp; the next morning, he retrieves Ward and Charlotte's bodies and leaves on the boat in which they came. Anita finishes narrating by revealing Van Wetter was later convicted for the murders of Ward and Charlotte and sent to the electric chair, yet the identity of the sheriff's murderer was never ascertained. Jack would later meet his mother at Ward's funeral, but he would never get over Charlotte."
4D Man,"Brilliant but irresponsible scientist, Dr. Tony Nelson, develops an electronic amplifier that he hopes will allow any object to achieve a 4th dimensional (4D) state. While in this state, any object can pass freely through any other object. Tony, however, fails to pay attention to the overload, which sparks an electrical fire that burns down his lab. This results in the university terminating his contract. Now unemployed, Tony seeks out his brother, Scott, also a Doctor, to help him with his experiment. Scott is a researcher working on a material called Cargonite that is so dense that it is impenetrable. Scott is underpaid and unappreciated at his new job. He does not have the necessary drive to ask his employer, Mr. Carson, for greater recognition. Scott has become the driving force behind the development of Cargonite, named after Carson, who is now taking much of the credit for Scott's work. When his girlfriend, Linda Davis, falls for Tony, an enraged Scott steals Tony's experiment and starts playing around with it, eventually transforming himself into a 4D state. When demonstrating this to Tony, Scott leaves the amplifier power turned off, yet he successfully passes his hand through a block of steel. Scott can now enter a 4D state via his own will. Tony is amazed, but warns Scott not to reveal this ability until he can further test for possible side effects. While in the 4D state, Scott can pass through any solid object, but he ages at a greatly accelerated rate. The aged Scott soon learns how to survive, when he visits the company doctor, who, while examining him, suddenly drops dead. Simply by touching others, Scott can drain anyone's lifeforce, thereby rejuvenating himself. He experiments with his new abilities by shoplifting a piece of fruit through a grocery store's solid window. Scott also notices a diamond necklace on display in a nearby jewelry store window, but decides against stealing it. When he sees a bank, however, his face breaks into a sly grin. The police wonder about a bizarre crime. More than $50,000 was stolen from the bank with no sign of forced entry, nor any video footage of the crime. Strangely, a $1000 bill was found protruding from a solid piece of tempered steel. Tony realizes that Scott is abusing his power and tries to convince the police. Scott starts using his newly-found power to acquire all the things he felt he was denied: money, recognition, power, and women. Scott confronts Carson, revealing the experiment, then taking his revenge ""for the life drained from me"" by literally draining Carson's life force. Scott then proceeds to a sleazy bar, where he gets some street toughs to back down. With his new found bravado, combined with his ill-gotten money, he tries to impress a bar girl. When they later kiss, Scott does not kill her, but drains her life force to the point where she has aged badly. The police have to find a way to stop a man who is unstoppable. Looking very old now, Tony returns to the lab, but they are unable to stop him. Scott's former girlfriend catches him in solid form and shoots and wounds him. Bleeding and feeling betrayed, Scott maniacally proclaims his invincibility and defiantly phase-shifts his body with difficulty through a wall embedded with supposedly impenetrable Cargonite. ""The End"" appears on screen, followed a moment later by a question mark. This interrogative statement leaves in question whether the aged Scott died or survived."
Ride,"New York City film school graduate Leta Evans (De Sousa) has just become the assistant to hot music video director Bleau Kelly (Downtown Julie Brown). She almost loses the job before her first day's barely even started when Bleau decides budget cuts must be made for her next project. When Leta offers to do the assignment for a smaller fee, Bleau decides to have her escort a group of rappers, singers, and showbiz wanna-be's to Miami for a video shoot. The gang, which is kept in line by Poppa (Yoba), gets acquainted on a decaying bus as they travel down the East Coast, encountering barroom fights and other problems en route to the video gig."
Wetlands (Marécages),"In the middle of a drought, a drama disrupts the life of the Santerre family on a dairy farm in Quebec's Eastern Townships, and how out of confrontation, they will have to learn to forgive."
The Lawless Breed,"Wild West gunslinger and gambler John Wesley Hardin (Rock Hudson) is pardoned and released from Huntsville, Texas prison in 1896, after serving 16 years of a 25-year sentence. He recounts his exploits outside the law (shown in flashbacks) with a manuscript detailing his life. The woman he planned to marry is killed, and he later marries a saloon girl (Julie Adams). On the run and using aliases, they begin a normal life, and have a son just before he is captured and sent to prison. His life as an outlaw influences his son that grows up while Hardin served time, but on his release Hardin makes clear to the young man that a life of crime is no way to live."
Robin Hood: Prince of Thieves,"Robin of Locksley — an English nobleman who joined Richard the Lionheart, King of England in the Third Crusade — is imprisoned in Jerusalem along with his comrade, Peter Dubois. Facing the amputation of Peter's hand by the Ayyubid prison guards, Robin escapes with Peter, saving the life of a Moor named Azeem in the process. Robin, Peter, and Azeem escape through a sewer and into an alley, but Peter is shot and mortally wounded by an archer. Before making his last stand against the approaching guards, Peter has Robin swear to protect his sister, Marian. Robin returns to England with Azeem, who has vowed to accompany him until Azeem's life-debt to Robin is repaid. In England, with King Richard away in France, the cruel Sheriff of Nottingham rules over the land, aided by his cousin Guy of Gisbourne, the witch Mortianna, and the corrupt Bishop of Hereford. At Locksley Castle, Robin's father, who is loyal to King Richard, is killed by the Sheriff's men after refusing to join them. Robin returns to England to find his father dead, his home in ruins, and the Sheriff and his men oppressing the people. After telling Marian of Peter's demise, and while fleeing the Sheriff's forces afterwards, Robin and Azeem encounter a band of outlaws hiding in Sherwood Forest, led by Little John. Among the band is Will Scarlet, who holds a belligerent grudge against Robin. Robin assumes command of the group, training them to defend themselves and fight against Nottingham. They rob soldiers and convoys that pass through the forest, then distribute the stolen wealth among the poor. One of their early targets is Friar Tuck, who subsequently joins these Merry Men. Marian begins to sympathize with the band and renders Robin any aid she can muster. Robin's successes infuriate the Sheriff, who increases the mistreatment of the people, resulting in greater local support for Robin Hood. The Sheriff kills Gisbourne for his failure to prevent the looting of several convoys, and hires Celtic warriors from Scotland to assist his forces in assaulting the hideout. The Sheriff manages to locate the outlaws' hideout and launches an attack, destroying the refuge and capturing most of the outlaws. With the Bishop's help, the Sherrif has Marian confined when she tries to summon help from France. To consolidate his claim to the throne, the Sheriff proposes to Marian (who is Richard's cousin), claiming that if she accepts, he will spare the lives of the captured outlaws. Nevertheless, several of the rebels are due to be executed by hanging as part of the wedding celebration. Among the captured is Will Scarlet, who makes a deal with the Sheriff to find and kill Robin in exchange for his freedom. Will meets up with Robin and a handful of his aides who survived the Celt's assault. Will informs Robin of the Sheriff's plans to marry Marian and execute Robin's men. Will continues to display anger against Robin, which motivates Robin to question why Will hates him so much. Will then reveals himself to be Robin's younger illegitimate half-brother; Will's mother was a peasant woman with whom Robin's father took comfort after Robin's mother died. Robin's anger toward his father caused him to separate from her and leave Will fatherless. Despite his anger, Robin is overjoyed to learn that he has a brother, and reconciles with Will. On the day of the wedding and hangings, Robin and his men infiltrate Nottingham Castle, freeing the prisoners. Although Robin's band originally planned to free their friends and retreat, Azeem reveals himself and his willingness to fight the Sheriff, inciting the peasants to revolt. After a fierce fight, Robin kills the Sheriff, but is attacked by Mortianna with a spear. Azeem slays Mortianna, fulfilling his life-debt to Robin. Tuck kills the Bishop by burdening him with treasure and throwing him out a window. Robin and Marian profess their love for each other and are married in the forest. Their wedding is briefly interrupted by King Richard, who blesses the marriage and thanks Robin for his deeds."
Mission to Moscow,"The film chronicles ambassador Davies' impressions of the Soviet Union, his meetings with Stalin, and his overall opinion of the Soviet Union and its ties with the United States. It is made in a faux-documentary style, beginning with Davies meeting with president Franklin D. Roosevelt to discuss his new appointment as United States ambassador to the Soviet Union. It continues to show the Davies' family's trip by boat to Moscow, with stops in Europe. While in Moscow, the movie alternates between Davies' interpretations of Russian politics and communism and his family's impressions of Russian life. It includes a memorable scene with Mrs. Davies at a Russian department store. The movie gives Davies' perspective on various points in Soviet history. It begins with the real ambassador Davies stating, while seated in an armchair, “No leaders of a nation have been so misrepresented and misunderstood as those in the Soviet government during those critical years between the two world wars.”[3] The film then cuts to the film Davies and begins its narrative. Davies is shown witnessing the famous show trials conducted by Stalin in the 1930s (known as the Moscow Trials), which are portrayed as trials of fifth columnists working for Germany and Japan. The voice-overs continue throughout the film, interspersing storyline with Davies' opinions. The film's narrative focuses on the journey of Davies and his family. First, their physical journey from the United States to the Soviet Union. And, second, their less tangible journey from skeptics of communism and the Soviet Union into converts and enthusiasts. The narrative of the movie and the book are almost identical."
The Wizard of Gore,"Magician Montag the Magnificent delivers hectoring speeches about the nature of reality to his audience and then performs mutilation tricks on female ""volunteers"". The women appear unharmed immediately afterward but later collapse, dead, in public or at home—mutilated in the same grisly fashion suggested by Montag's stage tricks (cut in half with a chainsaw, drilled through with a punch press, etc.). Audience member Sherry Carson, a local TV talk show hostess, and her boyfriend Jack begin to suspect that Montag is somehow involved in the murders. Jack and fellow reporter Greg attempt to research the case but are unable to come up with any solid evidence. Montag agrees to appear on Sherry's show to perform a fire trick; when the cameras roll, he hypnotizes not only everyone in the studio, but also the viewing audience at home. With a wave of his hand, Montag starts a blaze and is guiding Sherry and two plainclothes cops toward it when Jack intervenes and pushes Montag into the fire instead. Screaming, the magician dies. Back at home, Sherry and Jack have a drink as they discuss their strange experience. Suddenly, Jack laughs and begins peeling his own skin from his face to reveal that he is actually Montag. ""What makes you think you know what reality is?"" he asks Sherry before disemboweling her with his bare hands. But Sherry, still alive and laughing maniacally, tells the baffled Montag that none of what has happened was real—and that even he is part of her illusion. ""You are no longer even here,"" she informs Montag. ""You'll have to start your little charade all over again."" ""But I...I am Montag!"" the magician stammers helplessly. Then he is back onstage, dazed, reciting the same speech that he delivered to his audience at the beginning of the film: ""What is real? How do you know that at this second you aren't asleep in your beds, dreaming that you are here in this theater?"" And in the audience an unimpressed Sherry turns to Jack, muttering, ""You know what I think? I think he's a phony."""
